127.0.0.1 - - [24/Mar/2016:20:55:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/index.html HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 200 50573
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 200 9091
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:33 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:34 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:34 +0530] "GET /SDNWeb/assets/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 68875
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:55:34 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/index.html HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 200 50573
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 200 9091
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:03 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:10 +0530] "GET /SDNWeb/assets/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 200 64464
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/topology.html HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:26 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:30 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/topology.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:56:55 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
